sentence_id,snr,src,noisy_path
u1_l1_012,snr10,/mnt/d/北外/2024-26 研究生毕设/调研/北外多语语音评测/static/fijian/u1_l1_012.wav,/mnt/d/workdir/extra_experiments/noise_robustness/audio/snr10/u1_l1_012.wav
u1_l1_012,snr05,/mnt/d/北外/2024-26 研究生毕设/调研/北外多语语音评测/static/fijian/u1_l1_012.wav,/mnt/d/workdir/extra_experiments/noise_robustness/audio/snr05/u1_l1_012.wav
u1_l1_014,clean,/mnt/d/北外/2024-26 研究生毕设/调研/北外多语语音评测/static/fijian/u1_l1_014.wav,/mnt/d/workdir/extra_experiments/noise_robustness/audio/clean/u1_l1_014.wav
u1_l1_014,snr20,/mnt/d/北外/2024-26 研究生毕设/调研/北外多语语音评测/static/fijian/u1_l1_014.wav,/mnt/d/workdir/extra_experiments/noise_robustness/audio/snr20/u1_l1_014.wav
u1_l1_014,snr10,/mnt/d/北外/2024-26 研究生毕设/调研/北外多语语音评测/static/fijian/u1_l1_014.wav,/mnt/d/workdir/extra_experiments/noise_robustness/audio/snr10/u1_l1_014.wav
u1_l1_014,snr05,/mnt/d/北外/2024-26 研究生毕设/调研/北外多语语音评测/static/fijian/u1_l1_014.wav,/mnt/d/workdir/extra_experiments/noise_robustness/audio/snr05/u1_l1_014.wav
u1_l1_015,clean,/mnt/d/北外/2024-26 研究生毕设/调研/北外多语语音评测/static/fijian/u1_l1_015.wav,/mnt/d/workdir/extra_experiments/noise_robustness/audio/clean/u1_l1_015.wav
u1_l1_015,snr20,/mnt/d/北外/2024-26 研究生毕设/调研/北外多语语音评测/static/fijian/u1_l1_015.wav,/mnt/d/workdir/extra_experiments/noise_robustness/audio/snr20/u1_l1_015.wav
u1_l1_015,snr10,/mnt/d/北外/2024-26 研究生毕设/调研/北外多语语音评测/static/fijian/u1_l1_015.wav,/mnt/d/workdir/extra_experiments/noise_robustness/audio/snr10/u1_l1_015.wav
u1_l1_015,snr05,/mnt/d/北外/2024-26 研究生毕设/调研/北外多语语音评测/static/fijian/u1_l1_015.wav,/mnt/d/workdir/extra_experiments/noise_robustness/audio/snr05/u1_l1_015.wav
u1_l1_018,clean,/mnt/d/北外/2024-26 研究生毕设/调研/北外多语语音评测/static/fijian/u1_l1_018.wav,/mnt/d/workdir/extra_experiments/noise_robustness/audio/clean/u1_l1_018.wav
u1_l1_018,snr20,/mnt/d/北外/2024-26 研究生毕设/调研/北外多语语音评测/static/fijian/u1_l1_018.wav,/mnt/d/workdir/extra_experiments/noise_robustness/audio/snr20/u1_l1_018.wav
u1_l1_018,snr10,/mnt/d/北外/2024-26 研究生毕设/调研/北外多语语音评测/static/fijian/u1_l1_018.wav,/mnt/d/workdir/extra_experiments/noise_robustness/audio/snr10/u1_l1_018.wav
u1_l1_018,snr05,/mnt/d/北外/2024-26 研究生毕设/调研/北外多语语音评测/static/fijian/u1_l1_018.wav,/mnt/d/workdir/extra_experiments/noise_robustness/audio/snr05/u1_l1_018.wav
u1_l1_026,clean,/mnt/d/北外/2024-26 研究生毕设/调研/北外多语语音评测/static/fijian/u1_l1_026.wav,/mnt/d/workdir/extra_experiments/noise_robustness/audio/clean/u1_l1_026.wav
u1_l1_026,snr20,/mnt/d/北外/2024-26 研究生毕设/调研/北外多语语音评测/static/fijian/u1_l1_026.wav,/mnt/d/workdir/extra_experiments/noise_robustness/audio/snr20/u1_l1_026.wav
u1_l1_026,snr10,/mnt/d/北外/2024-26 研究生毕设/调研/北外多语语音评测/static/fijian/u1_l1_026.wav,/mnt/d/workdir/extra_experiments/noise_robustness/audio/snr10/u1_l1_026.wav
u1_l1_026,snr05,/mnt/d/北外/2024-26 研究生毕设/调研/北外多语语音评测/static/fijian/u1_l1_026.wav,/mnt/d/workdir/extra_experiments/noise_robustness/audio/snr05/u1_l1_026.wav
u1_l1_028,clean,/mnt/d/北外/2024-26 研究生毕设/调研/北外多语语音评测/static/fijian/u1_l1_028.wav,/mnt/d/workdir/extra_experiments/noise_robustness/audio/clean/u1_l1_028.wav
u1_l1_028,snr20,/mnt/d/北外/2024-26 研究生毕设/调研/北外多语语音评测/static/fijian/u1_l1_028.wav,/mnt/d/workdir/extra_experiments/noise_robustness/audio/snr20/u1_l1_028.wav
u1_l1_028,snr10,/mnt/d/北外/2024-26 研究生毕设/调研/北外多语语音评测/static/fijian/u1_l1_028.wav,/mnt/d/workdir/extra_experiments/noise_robustness/audio/snr10/u1_l1_028.wav
u1_l1_028,snr05,/mnt/d/北外/2024-26 研究生毕设/调研/北外多语语音评测/static/fijian/u1_l1_028.wav,/mnt/d/workdir/extra_experiments/noise_robustness/audio/snr05/u1_l1_028.wav
u1_l1_029,clean,/mnt/d/北外/2024-26 研究生毕设/调研/北外多语语音评测/static/fijian/u1_l1_029.wav,/mnt/d/workdir/extra_experiments/noise_robustness/audio/clean/u1_l1_029.wav
u1_l1_029,snr20,/mnt/d/北外/2024-26 研究生毕设/调研/北外多语语音评测/static/fijian/u1_l1_029.wav,/mnt/d/workdir/extra_experiments/noise_robustness/audio/snr20/u1_l1_029.wav
u1_l1_029,snr10,/mnt/d/北外/2024-26 研究生毕设/调研/北外多语语音评测/static/fijian/u1_l1_029.wav,/mnt/d/workdir/extra_experiments/noise_robustness/audio/snr10/u1_l1_029.wav
u1_l1_029,snr05,/mnt/d/北外/2024-26 研究生毕设/调研/北外多语语音评测/static/fijian/u1_l1_029.wav,/mnt/d/workdir/extra_experiments/noise_robustness/audio/snr05/u1_l1_029.wav
u1_l1_030,clean,/mnt/d/北外/2024-26 研究生毕设/调研/北外多语语音评测/static/fijian/u1_l1_030.wav,/mnt/d/workdir/extra_experiments/noise_robustness/audio/clean/u1_l1_030.wav
u1_l1_030,snr20,/mnt/d/北外/2024-26 研究生毕设/调研/北外多语语音评测/static/fijian/u1_l1_030.wav,/mnt/d/workdir/extra_experiments/noise_robustness/audio/snr20/u1_l1_030.wav
u1_l1_030,snr10,/mnt/d/北外/2024-26 研究生毕设/调研/北外多语语音评测/static/fijian/u1_l1_030.wav,/mnt/d/workdir/extra_experiments/noise_robustness/audio/snr10/u1_l1_030.wav
u1_l1_030,snr05,/mnt/d/北外/2024-26 研究生毕设/调研/北外多语语音评测/static/fijian/u1_l1_030.wav,/mnt/d/workdir/extra_experiments/noise_robustness/audio/snr05/u1_l1_030.wav
u1_l1_032,clean,/mnt/d/北外/2024-26 研究生毕设/调研/北外多语语音评测/static/fijian/u1_l1_032.wav,/mnt/d/workdir/extra_experiments/noise_robustness/audio/clean/u1_l1_032.wav
u1_l1_032,snr20,/mnt/d/北外/2024-26 研究生毕设/调研/北外多语语音评测/static/fijian/u1_l1_032.wav,/mnt/d/workdir/extra_experiments/noise_robustness/audio/snr20/u1_l1_032.wav
u1_l1_032,snr10,/mnt/d/北外/2024-26 研究生毕设/调研/北外多语语音评测/static/fijian/u1_l1_032.wav,/mnt/d/workdir/extra_experiments/noise_robustness/audio/snr10/u1_l1_032.wav
u1_l1_032,snr05,/mnt/d/北外/2024-26 研究生毕设/调研/北外多语语音评测/static/fijian/u1_l1_032.wav,/mnt/d/workdir/extra_experiments/noise_robustness/audio/snr05/u1_l1_032.wav
u1_l1_036,clean,/mnt/d/北外/2024-26 研究生毕设/调研/北外多语语音评测/static/fijian/u1_l1_036.wav,/mnt/d/workdir/extra_experiments/noise_robustness/audio/clean/u1_l1_036.wav
u1_l1_036,snr20,/mnt/d/北外/2024-26 研究生毕设/调研/北外多语语音评测/static/fijian/u1_l1_036.wav,/mnt/d/workdir/extra_experiments/noise_robustness/audio/snr20/u1_l1_036.wav
u1_l1_036,snr10,/mnt/d/北外/2024-26 研究生毕设/调研/北外多语语音评测/static/fijian/u1_l1_036.wav,/mnt/d/workdir/extra_experiments/noise_robustness/audio/snr10/u1_l1_036.wav
u1_l1_036,snr05,/mnt/d/北外/2024-26 研究生毕设/调研/北外多语语音评测/static/fijian/u1_l1_036.wav,/mnt/d/workdir/extra_experiments/noise_robustness/audio/snr05/u1_l1_036.wav
u1_l1_055,clean,/mnt/d/北外/2024-26 研究生毕设/调研/北外多语语音评测/static/fijian/u1_l1_055.wav,/mnt/d/workdir/extra_experiments/noise_robustness/audio/clean/u1_l1_055.wav
u1_l1_055,snr20,/mnt/d/北外/2024-26 研究生毕设/调研/北外多语语音评测/static/fijian/u1_l1_055.wav,/mnt/d/workdir/extra_experiments/noise_robustness/audio/snr20/u1_l1_055.wav
u1_l1_055,snr10,/mnt/d/北外/2024-26 研究生毕设/调研/北外多语语音评测/static/fijian/u1_l1_055.wav,/mnt/d/workdir/extra_experiments/noise_robustness/audio/snr10/u1_l1_055.wav
u1_l1_055,snr05,/mnt/d/北外/2024-26 研究生毕设/调研/北外多语语音评测/static/fijian/u1_l1_055.wav,/mnt/d/workdir/extra_experiments/noise_robustness/audio/snr05/u1_l1_055.wav
u1_l1_065,clean,/mnt/d/北外/2024-26 研究生毕设/调研/北外多语语音评测/static/fijian/u1_l1_065.wav,/mnt/d/workdir/extra_experiments/noise_robustness/audio/clean/u1_l1_065.wav
u1_l1_065,snr20,/mnt/d/北外/2024-26 研究生毕设/调研/北外多语语音评测/static/fijian/u1_l1_065.wav,/mnt/d/workdir/extra_experiments/noise_robustness/audio/snr20/u1_l1_065.wav
u1_l1_065,snr10,/mnt/d/北外/2024-26 研究生毕设/调研/北外多语语音评测/static/fijian/u1_l1_065.wav,/mnt/d/workdir/extra_experiments/noise_robustness/audio/snr10/u1_l1_065.wav
u1_l1_065,snr05,/mnt/d/北外/2024-26 研究生毕设/调研/北外多语语音评测/static/fijian/u1_l1_065.wav,/mnt/d/workdir/extra_experiments/noise_robustness/audio/snr05/u1_l1_065.wav
u1_l1_070,clean,/mnt/d/北外/2024-26 研究生毕设/调研/北外多语语音评测/static/fijian/u1_l1_070.wav,/mnt/d/workdir/extra_experiments/noise_robustness/audio/clean/u1_l1_070.wav
u1_l1_070,snr20,/mnt/d/北外/2024-26 研究生毕设/调研/北外多语语音评测/static/fijian/u1_l1_070.wav,/mnt/d/workdir/extra_experiments/noise_robustness/audio/snr20/u1_l1_070.wav
u1_l1_070,snr10,/mnt/d/北外/2024-26 研究生毕设/调研/北外多语语音评测/static/fijian/u1_l1_070.wav,/mnt/d/workdir/extra_experiments/noise_robustness/audio/snr10/u1_l1_070.wav
u1_l1_070,snr05,/mnt/d/北外/2024-26 研究生毕设/调研/北外多语语音评测/static/fijian/u1_l1_070.wav,/mnt/d/workdir/extra_experiments/noise_robustness/audio/snr05/u1_l1_070.wav
u1_l1_072,clean,/mnt/d/北外/2024-26 研究生毕设/调研/北外多语语音评测/static/fijian/u1_l1_072.wav,/mnt/d/workdir/extra_experiments/noise_robustness/audio/clean/u1_l1_072.wav
u1_l1_072,snr20,/mnt/d/北外/2024-26 研究生毕设/调研/北外多语语音评测/static/fijian/u1_l1_072.wav,/mnt/d/workdir/extra_experiments/noise_robustness/audio/snr20/u1_l1_072.wav
u1_l1_072,snr10,/mnt/d/北外/2024-26 研究生毕设/调研/北外多语语音评测/static/fijian/u1_l1_072.wav,/mnt/d/workdir/extra_experiments/noise_robustness/audio/snr10/u1_l1_072.wav
u1_l1_072,snr05,/mnt/d/北外/2024-26 研究生毕设/调研/北外多语语音评测/static/fijian/u1_l1_072.wav,/mnt/d/workdir/extra_experiments/noise_robustness/audio/snr05/u1_l1_072.wav
u1_l1_076,clean,/mnt/d/北外/2024-26 研究生毕设/调研/北外多语语音评测/static/fijian/u1_l1_076.wav,/mnt/d/workdir/extra_experiments/noise_robustness/audio/clean/u1_l1_076.wav
u1_l1_076,snr20,/mnt/d/北外/2024-26 研究生毕设/调研/北外多语语音评测/static/fijian/u1_l1_076.wav,/mnt/d/workdir/extra_experiments/noise_robustness/audio/snr20/u1_l1_076.wav
u1_l1_076,snr10,/mnt/d/北外/2024-26 研究生毕设/调研/北外多语语音评测/static/fijian/u1_l1_076.wav,/mnt/d/workdir/extra_experiments/noise_robustness/audio/snr10/u1_l1_076.wav
u1_l1_076,snr05,/mnt/d/北外/2024-26 研究生毕设/调研/北外多语语音评测/static/fijian/u1_l1_076.wav,/mnt/d/workdir/extra_experiments/noise_robustness/audio/snr05/u1_l1_076.wav
u1_l1_078,clean,/mnt/d/北外/2024-26 研究生毕设/调研/北外多语语音评测/static/fijian/u1_l1_078.wav,/mnt/d/workdir/extra_experiments/noise_robustness/audio/clean/u1_l1_078.wav
u1_l1_078,snr20,/mnt/d/北外/2024-26 研究生毕设/调研/北外多语语音评测/static/fijian/u1_l1_078.wav,/mnt/d/workdir/extra_experiments/noise_robustness/audio/snr20/u1_l1_078.wav
u1_l1_078,snr10,/mnt/d/北外/2024-26 研究生毕设/调研/北外多语语音评测/static/fijian/u1_l1_078.wav,/mnt/d/workdir/extra_experiments/noise_robustness/audio/snr10/u1_l1_078.wav
u1_l1_078,snr05,/mnt/d/北外/2024-26 研究生毕设/调研/北外多语语音评测/static/fijian/u1_l1_078.wav,/mnt/d/workdir/extra_experiments/noise_robustness/audio/snr05/u1_l1_078.wav
u1_l1_082,clean,/mnt/d/北外/2024-26 研究生毕设/调研/北外多语语音评测/static/fijian/u1_l1_082.wav,/mnt/d/workdir/extra_experiments/noise_robustness/audio/clean/u1_l1_082.wav
u1_l1_082,snr20,/mnt/d/北外/2024-26 研究生毕设/调研/北外多语语音评测/static/fijian/u1_l1_082.wav,/mnt/d/workdir/extra_experiments/noise_robustness/audio/snr20/u1_l1_082.wav
u1_l1_082,snr10,/mnt/d/北外/2024-26 研究生毕设/调研/北外多语语音评测/static/fijian/u1_l1_082.wav,/mnt/d/workdir/extra_experiments/noise_robustness/audio/snr10/u1_l1_082.wav
u1_l1_082,snr05,/mnt/d/北外/2024-26 研究生毕设/调研/北外多语语音评测/static/fijian/u1_l1_082.wav,/mnt/d/workdir/extra_experiments/noise_robustness/audio/snr05/u1_l1_082.wav
u1_l1_084,clean,/mnt/d/北外/2024-26 研究生毕设/调研/北外多语语音评测/static/fijian/u1_l1_084.wav,/mnt/d/workdir/extra_experiments/noise_robustness/audio/clean/u1_l1_084.wav
u1_l1_084,snr20,/mnt/d/北外/2024-26 研究生毕设/调研/北外多语语音评测/static/fijian/u1_l1_084.wav,/mnt/d/workdir/extra_experiments/noise_robustness/audio/snr20/u1_l1_084.wav
u1_l1_084,snr10,/mnt/d/北外/2024-26 研究生毕设/调研/北外多语语音评测/static/fijian/u1_l1_084.wav,/mnt/d/workdir/extra_experiments/noise_robustness/audio/snr10/u1_l1_084.wav
u1_l1_084,snr05,/mnt/d/北外/2024-26 研究生毕设/调研/北外多语语音评测/static/fijian/u1_l1_084.wav,/mnt/d/workdir/extra_experiments/noise_robustness/audio/snr05/u1_l1_084.wav
u1_l1_087,clean,/mnt/d/北外/2024-26 研究生毕设/调研/北外多语语音评测/static/fijian/u1_l1_087.wav,/mnt/d/workdir/extra_experiments/noise_robustness/audio/clean/u1_l1_087.wav
u1_l1_087,snr20,/mnt/d/北外/2024-26 研究生毕设/调研/北外多语语音评测/static/fijian/u1_l1_087.wav,/mnt/d/workdir/extra_experiments/noise_robustness/audio/snr20/u1_l1_087.wav
u1_l1_087,snr10,/mnt/d/北外/2024-26 研究生毕设/调研/北外多语语音评测/static/fijian/u1_l1_087.wav,/mnt/d/workdir/extra_experiments/noise_robustness/audio/snr10/u1_l1_087.wav
u1_l1_087,snr05,/mnt/d/北外/2024-26 研究生毕设/调研/北外多语语音评测/static/fijian/u1_l1_087.wav,/mnt/d/workdir/extra_experiments/noise_robustness/audio/snr05/u1_l1_087.wav
u1_l1_090,clean,/mnt/d/北外/2024-26 研究生毕设/调研/北外多语语音评测/static/fijian/u1_l1_090.wav,/mnt/d/workdir/extra_experiments/noise_robustness/audio/clean/u1_l1_090.wav
u1_l1_090,snr20,/mnt/d/北外/2024-26 研究生毕设/调研/北外多语语音评测/static/fijian/u1_l1_090.wav,/mnt/d/workdir/extra_experiments/noise_robustness/audio/snr20/u1_l1_090.wav
u1_l1_090,snr10,/mnt/d/北外/2024-26 研究生毕设/调研/北外多语语音评测/static/fijian/u1_l1_090.wav,/mnt/d/workdir/extra_experiments/noise_robustness/audio/snr10/u1_l1_090.wav
u1_l1_090,snr05,/mnt/d/北外/2024-26 研究生毕设/调研/北外多语语音评测/static/fijian/u1_l1_090.wav,/mnt/d/workdir/extra_experiments/noise_robustness/audio/snr05/u1_l1_090.wav
u1_l1_092,clean,/mnt/d/北外/2024-26 研究生毕设/调研/北外多语语音评测/static/fijian/u1_l1_092.wav,/mnt/d/workdir/extra_experiments/noise_robustness/audio/clean/u1_l1_092.wav
u1_l1_092,snr20,/mnt/d/北外/2024-26 研究生毕设/调研/北外多语语音评测/static/fijian/u1_l1_092.wav,/mnt/d/workdir/extra_experiments/noise_robustness/audio/snr20/u1_l1_092.wav
u1_l1_092,snr10,/mnt/d/北外/2024-26 研究生毕设/调研/北外多语语音评测/static/fijian/u1_l1_092.wav,/mnt/d/workdir/extra_experiments/noise_robustness/audio/snr10/u1_l1_092.wav
u1_l1_092,snr05,/mnt/d/北外/2024-26 研究生毕设/调研/北外多语语音评测/static/fijian/u1_l1_092.wav,/mnt/d/workdir/extra_experiments/noise_robustness/audio/snr05/u1_l1_092.wav
u1_l1_095,clean,/mnt/d/北外/2024-26 研究生毕设/调研/北外多语语音评测/static/fijian/u1_l1_095.wav,/mnt/d/workdir/extra_experiments/noise_robustness/audio/clean/u1_l1_095.wav
u1_l1_095,snr20,/mnt/d/北外/2024-26 研究生毕设/调研/北外多语语音评测/static/fijian/u1_l1_095.wav,/mnt/d/workdir/extra_experiments/noise_robustness/audio/snr20/u1_l1_095.wav
u1_l1_095,snr10,/mnt/d/北外/2024-26 研究生毕设/调研/北外多语语音评测/static/fijian/u1_l1_095.wav,/mnt/d/workdir/extra_experiments/noise_robustness/audio/snr10/u1_l1_095.wav
u1_l1_095,snr05,/mnt/d/北外/2024-26 研究生毕设/调研/北外多语语音评测/static/fijian/u1_l1_095.wav,/mnt/d/workdir/extra_experiments/noise_robustness/audio/snr05/u1_l1_095.wav
u1_l1_104,clean,/mnt/d/北外/2024-26 研究生毕设/调研/北外多语语音评测/static/fijian/u1_l1_104.wav,/mnt/d/workdir/extra_experiments/noise_robustness/audio/clean/u1_l1_104.wav
u1_l1_104,snr20,/mnt/d/北外/2024-26 研究生毕设/调研/北外多语语音评测/static/fijian/u1_l1_104.wav,/mnt/d/workdir/extra_experiments/noise_robustness/audio/snr20/u1_l1_104.wav
u1_l1_104,snr10,/mnt/d/北外/2024-26 研究生毕设/调研/北外多语语音评测/static/fijian/u1_l1_104.wav,/mnt/d/workdir/extra_experiments/noise_robustness/audio/snr10/u1_l1_104.wav
u1_l1_104,snr05,/mnt/d/北外/2024-26 研究生毕设/调研/北外多语语音评测/static/fijian/u1_l1_104.wav,/mnt/d/workdir/extra_experiments/noise_robustness/audio/snr05/u1_l1_104.wav
u1_l1_108,clean,/mnt/d/北外/2024-26 研究生毕设/调研/北外多语语音评测/static/fijian/u1_l1_108.wav,/mnt/d/workdir/extra_experiments/noise_robustness/audio/clean/u1_l1_108.wav
u1_l1_108,snr20,/mnt/d/北外/2024-26 研究生毕设/调研/北外多语语音评测/static/fijian/u1_l1_108.wav,/mnt/d/workdir/extra_experiments/noise_robustness/audio/snr20/u1_l1_108.wav
u1_l1_108,snr10,/mnt/d/北外/2024-26 研究生毕设/调研/北外多语语音评测/static/fijian/u1_l1_108.wav,/mnt/d/workdir/extra_experiments/noise_robustness/audio/snr10/u1_l1_108.wav
u1_l1_108,snr05,/mnt/d/北外/2024-26 研究生毕设/调研/北外多语语音评测/static/fijian/u1_l1_108.wav,/mnt/d/workdir/extra_experiments/noise_robustness/audio/snr05/u1_l1_108.wav
u1_l1_109,clean,/mnt/d/北外/2024-26 研究生毕设/调研/北外多语语音评测/static/fijian/u1_l1_109.wav,/mnt/d/workdir/extra_experiments/noise_robustness/audio/clean/u1_l1_109.wav
u1_l1_109,snr20,/mnt/d/北外/2024-26 研究生毕设/调研/北外多语语音评测/static/fijian/u1_l1_109.wav,/mnt/d/workdir/extra_experiments/noise_robustness/audio/snr20/u1_l1_109.wav
u1_l1_109,snr10,/mnt/d/北外/2024-26 研究生毕设/调研/北外多语语音评测/static/fijian/u1_l1_109.wav,/mnt/d/workdir/extra_experiments/noise_robustness/audio/snr10/u1_l1_109.wav
u1_l1_109,snr05,/mnt/d/北外/2024-26 研究生毕设/调研/北外多语语音评测/static/fijian/u1_l1_109.wav,/mnt/d/workdir/extra_experiments/noise_robustness/audio/snr05/u1_l1_109.wav
u1_l1_113,clean,/mnt/d/北外/2024-26 研究生毕设/调研/北外多语语音评测/static/fijian/u1_l1_113.wav,/mnt/d/workdir/extra_experiments/noise_robustness/audio/clean/u1_l1_113.wav
u1_l1_113,snr20,/mnt/d/北外/2024-26 研究生毕设/调研/北外多语语音评测/static/fijian/u1_l1_113.wav,/mnt/d/workdir/extra_experiments/noise_robustness/audio/snr20/u1_l1_113.wav
u1_l1_113,snr10,/mnt/d/北外/2024-26 研究生毕设/调研/北外多语语音评测/static/fijian/u1_l1_113.wav,/mnt/d/workdir/extra_experiments/noise_robustness/audio/snr10/u1_l1_113.wav
u1_l1_113,snr05,/mnt/d/北外/2024-26 研究生毕设/调研/北外多语语音评测/static/fijian/u1_l1_113.wav,/mnt/d/workdir/extra_experiments/noise_robustness/audio/snr05/u1_l1_113.wav
u1_l1_118,clean,/mnt/d/北外/2024-26 研究生毕设/调研/北外多语语音评测/static/fijian/u1_l1_118.wav,/mnt/d/workdir/extra_experiments/noise_robustness/audio/clean/u1_l1_118.wav
u1_l1_118,snr20,/mnt/d/北外/2024-26 研究生毕设/调研/北外多语语音评测/static/fijian/u1_l1_118.wav,/mnt/d/workdir/extra_experiments/noise_robustness/audio/snr20/u1_l1_118.wav
u1_l1_118,snr10,/mnt/d/北外/2024-26 研究生毕设/调研/北外多语语音评测/static/fijian/u1_l1_118.wav,/mnt/d/workdir/extra_experiments/noise_robustness/audio/snr10/u1_l1_118.wav
u1_l1_118,snr05,/mnt/d/北外/2024-26 研究生毕设/调研/北外多语语音评测/static/fijian/u1_l1_118.wav,/mnt/d/workdir/extra_experiments/noise_robustness/audio/snr05/u1_l1_118.wav
u1_l1_119,clean,/mnt/d/北外/2024-26 研究生毕设/调研/北外多语语音评测/static/fijian/u1_l1_119.wav,/mnt/d/workdir/extra_experiments/noise_robustness/audio/clean/u1_l1_119.wav
u1_l1_119,snr20,/mnt/d/北外/2024-26 研究生毕设/调研/北外多语语音评测/static/fijian/u1_l1_119.wav,/mnt/d/workdir/extra_experiments/noise_robustness/audio/snr20/u1_l1_119.wav
u1_l1_119,snr10,/mnt/d/北外/2024-26 研究生毕设/调研/北外多语语音评测/static/fijian/u1_l1_119.wav,/mnt/d/workdir/extra_experiments/noise_robustness/audio/snr10/u1_l1_119.wav
u1_l1_119,snr05,/mnt/d/北外/2024-26 研究生毕设/调研/北外多语语音评测/static/fijian/u1_l1_119.wav,/mnt/d/workdir/extra_experiments/noise_robustness/audio/snr05/u1_l1_119.wav
