utt_id,tier,label,start,end,duration
u1_l1_010,words,cici,0.77,1.13,0.3599999999999999
u1_l1_010,words,tiko,1.13,1.49,0.3600000000000001
u1_l1_010,words,na,1.49,1.7,0.20999999999999996
u1_l1_010,words,yalewa,1.7,2.38,0.6799999999999999
u1_l1_010,words,,2.38,3.471125,1.091125
u1_l1_011,words,,0.0,0.46,0.46
u1_l1_011,words,e,0.46,0.56,0.10000000000000003
u1_l1_011,words,lagasere,0.56,1.31,0.75
u1_l1_011,words,tiko,1.31,1.71,0.3999999999999999
u1_l1_011,words,na,1.71,1.88,0.16999999999999993
u1_l1_011,words,tagane,1.88,2.52,0.6400000000000001
u1_l1_011,words,,2.52,3.351437,0.8314370000000002
u1_l1_012,words,,0.0,0.18,0.18
u1_l1_012,words,e,0.18,0.37,0.19
u1_l1_012,words,dānisi,0.37,0.94,0.57
u1_l1_012,words,tiko,0.94,1.32,0.3800000000000001
u1_l1_012,words,na,1.32,1.51,0.18999999999999995
u1_l1_012,words,yalewa,1.51,2.14,0.6300000000000001
u1_l1_012,words,,2.14,2.633313,0.49331299999999967
u1_l1_013,words,,0.0,0.28,0.28
u1_l1_013,words,e,0.28,0.38,0.09999999999999998
u1_l1_013,words,lagasere,0.38,1.1,0.7200000000000001
u1_l1_013,words,tiko,1.1,1.48,0.3799999999999999
u1_l1_013,words,na,1.48,1.67,0.18999999999999995
u1_l1_013,words,yalewa,1.67,2.32,0.6499999999999999
u1_l1_013,words,,2.32,3.052188,0.7321880000000003
u1_l1_014,words,,0.0,0.36,0.36
u1_l1_014,words,e,0.36,0.55,0.19000000000000006
u1_l1_014,words,dānisi,0.55,1.11,0.56
u1_l1_014,words,tiko,1.11,1.49,0.3799999999999999
u1_l1_014,words,na,1.49,1.65,0.15999999999999992
u1_l1_014,words,tagane,1.65,2.27,0.6200000000000001
u1_l1_014,words,,2.27,2.9325,0.6625000000000001
u1_l1_015,words,,0.0,0.44,0.44
u1_l1_015,words,e,0.44,0.55,0.11000000000000004
u1_l1_015,words,dua,0.55,0.96,0.4099999999999999
u1_l1_015,words,na,0.96,1.11,0.15000000000000013
u1_l1_015,words,tagane,1.11,1.74,0.6299999999999999
u1_l1_015,words,,1.74,2.334,0.5940000000000001
u1_l1_016,words,,0.0,0.48,0.48
u1_l1_016,words,e,0.48,0.67,0.19000000000000006
u1_l1_016,words,dua,0.67,0.96,0.2899999999999999
u1_l1_016,words,na,0.96,1.16,0.19999999999999996
u1_l1_016,words,yalewa,1.16,1.86,0.7000000000000002
u1_l1_016,words,,1.86,2.334,0.474
u1_l1_017,words,,0.0,0.22,0.22
u1_l1_017,words,e,0.22,0.34,0.12000000000000002
u1_l1_017,words,dua,0.34,0.71,0.36999999999999994
u1_l1_017,words,na,0.71,0.89,0.18000000000000005
u1_l1_017,words,goneyalewa,0.89,1.92,1.0299999999999998
u1_l1_017,words,,1.92,2.81275,0.8927499999999999
u1_l1_018,words,,0.0,0.37,0.37
u1_l1_018,words,e,0.37,0.49,0.12
u1_l1_018,words,dua,0.49,0.85,0.36
u1_l1_018,words,na,0.85,1.01,0.16000000000000003
u1_l1_018,words,gonetagane,1.01,1.93,0.9199999999999999
u1_l1_018,words,,1.93,2.513562,0.5835619999999999
u1_l1_019,words,,0.0,0.34,0.34
u1_l1_019,words,e,0.34,0.45,0.10999999999999999
u1_l1_019,words,dua,0.45,0.83,0.37999999999999995
u1_l1_019,words,na,0.83,1.01,0.18000000000000005
u1_l1_019,words,gonetagane,1.01,1.94,0.9299999999999999
u1_l1_019,words,,1.94,3.052188,1.1121880000000002
u1_l1_020,words,,0.0,0.25,0.25
u1_l1_020,words,e,0.25,0.44,0.19
u1_l1_020,words,dua,0.44,0.72,0.27999999999999997
u1_l1_020,words,na,0.72,0.89,0.17000000000000004
u1_l1_020,words,goneyalewa,0.89,1.88,0.9899999999999999
u1_l1_020,words,,1.88,2.753,0.8730000000000002
